"TIME","GEO","SIEC","UNIT","Value","Flag and Footnotes"
"2017M02","Bulgaria","Coal and manufactured gases","Gigawatt-hour","1 606.241",""
"2017M02","Bulgaria","Natural gas","Gigawatt-hour","207.623",""
"2017M02","Bulgaria","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","1 311.012",""
"2017M02","Czechia","Total","Gigawatt-hour","6 951.168",""
"2017M02","Czechia","Combustible fuels - non-renewable","Gigawatt-hour","6.151",""
"2017M02","Czechia","Coal and manufactured gases","Gigawatt-hour","3 802.545",""
"2017M02","Czechia","Natural gas","Gigawatt-hour","358.701",""
"2017M02","Czechia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","2 033.395",""
"2017M02","Denmark","Total","Gigawatt-hour","3 245.985",""
"2017M02","Denmark","Combustible fuels - non-renewable","Gigawatt-hour","53.116",""
"2017M02","Denmark","Coal and manufactured gases","Gigawatt-hour","882.385",""
"2017M02","Denmark","Natural gas","Gigawatt-hour","304.648",""
"2017M02","Denmark","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Germany (until 1990 former territory of the FRG)","Total","Gigawatt-hour","48 064.466",""
"2017M02","Germany (until 1990 former territory of the FRG)","Combustible fuels - non-renewable","Gigawatt-hour","1 459.579","e"
"2017M02","Germany (until 1990 former territory of the FRG)","Coal and manufactured gases","Gigawatt-hour","20 143.825","e"
"2017M02","Germany (until 1990 former territory of the FRG)","Natural gas","Gigawatt-hour","7 051.090","e"
"2017M02","Germany (until 1990 former territory of the FRG)","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","4 537.316",""
"2017M02","Estonia","Total","Gigawatt-hour","991.000",""
"2017M02","Estonia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M02","Estonia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M02","Estonia","Natural gas","Gigawatt-hour","0.000",""
"2017M02","Estonia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Ireland","Total","Gigawatt-hour","2 483.991",""
"2017M02","Ireland","Combustible fuels - non-renewable","Gigawatt-hour","211.005",""
"2017M02","Ireland","Coal and manufactured gases","Gigawatt-hour","422.486",""
"2017M02","Ireland","Natural gas","Gigawatt-hour","907.901",""
"2017M02","Ireland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Greece","Total","Gigawatt-hour","4 220.685",""
"2017M02","Greece","Combustible fuels - non-renewable","Gigawatt-hour","0.090",""
"2017M02","Greece","Coal and manufactured gases","Gigawatt-hour","1 573.380",""
"2017M02","Greece","Natural gas","Gigawatt-hour","1 239.830",""
"2017M02","Greece","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Spain","Total","Gigawatt-hour","20 998.094",""
"2017M02","Spain","Combustible fuels - non-renewable","Gigawatt-hour","262.178",""
"2017M02","Spain","Coal and manufactured gases","Gigawatt-hour","3 516.025",""
"2017M02","Spain","Natural gas","Gigawatt-hour","3 491.800",""
"2017M02","Spain","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","4 768.268",""
"2017M02","France","Total","Gigawatt-hour","48 016.614",""
"2017M02","France","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M02","France","Coal and manufactured gases","Gigawatt-hour","1 474.558",""
"2017M02","France","Natural gas","Gigawatt-hour","5 264.052",""
"2017M02","France","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","33 689.410",""
"2017M02","Croatia","Total","Gigawatt-hour","1 132.637",""
"2017M02","Croatia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M02","Croatia","Coal and manufactured gases","Gigawatt-hour","193.256",""
"2017M02","Croatia","Natural gas","Gigawatt-hour","292.070",""
"2017M02","Croatia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Italy","Total","Gigawatt-hour","22 282.000",""
"2017M02","Italy","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M02","Italy","Coal and manufactured gases","Gigawatt-hour",":",""
"2017M02","Italy","Natural gas","Gigawatt-hour",":",""
"2017M02","Italy","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Cyprus","Total","Gigawatt-hour","358.529",""
"2017M02","Cyprus","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M02","Cyprus","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M02","Cyprus","Natural gas","Gigawatt-hour","0.000",""
"2017M02","Cyprus","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Latvia","Total","Gigawatt-hour","601.000",""
"2017M02","Latvia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M02","Latvia","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M02","Latvia","Natural gas","Gigawatt-hour","356.000",""
"2017M02","Latvia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Lithuania","Total","Gigawatt-hour","314.005",""
"2017M02","Lithuania","Combustible fuels - non-renewable","Gigawatt-hour","5.708","e"
"2017M02","Lithuania","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M02","Lithuania","Natural gas","Gigawatt-hour","37.764","e"
"2017M02","Lithuania","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Luxembourg","Total","Gigawatt-hour","195.460",""
"2017M02","Luxembourg","Combustible fuels - non-renewable","Gigawatt-hour","5.549",""
"2017M02","Luxembourg","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M02","Luxembourg","Natural gas","Gigawatt-hour","23.676","e"
"2017M02","Luxembourg","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Hungary","Total","Gigawatt-hour","2 130.761",""
"2017M02","Hungary","Combustible fuels - non-renewable","Gigawatt-hour","15.881",""
"2017M02","Hungary","Coal and manufactured gases","Gigawatt-hour","383.040",""
"2017M02","Hungary","Natural gas","Gigawatt-hour","580.540",""
"2017M02","Hungary","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","966.618",""
"2017M02","Malta","Total","Gigawatt-hour","65.136",""
"2017M02","Malta","Combustible fuels - non-renewable","Gigawatt-hour","56.256",""
"2017M02","Malta","Coal and manufactured gases","Gigawatt-hour","0.000",""
"2017M02","Malta","Natural gas","Gigawatt-hour",":","c"
"2017M02","Malta","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Netherlands","Total","Gigawatt-hour","9 969.000",""
"2017M02","Netherlands","Combustible fuels - non-renewable","Gigawatt-hour","90.000","e"
"2017M02","Netherlands","Coal and manufactured gases","Gigawatt-hour","3 524.000","e"
"2017M02","Netherlands","Natural gas","Gigawatt-hour","4 473.000","e"
"2017M02","Netherlands","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","328.000",""
"2017M02","Austria","Total","Gigawatt-hour","4 953.167",""
"2017M02","Austria","Combustible fuels - non-renewable","Gigawatt-hour","61.251",""
"2017M02","Austria","Coal and manufactured gases","Gigawatt-hour","397.125",""
"2017M02","Austria","Natural gas","Gigawatt-hour","1 482.854",""
"2017M02","Austria","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Poland","Total","Gigawatt-hour","13 159.563",""
"2017M02","Poland","Combustible fuels - non-renewable","Gigawatt-hour","98.819",""
"2017M02","Poland","Coal and manufactured gases","Gigawatt-hour","10 431.340",""
"2017M02","Poland","Natural gas","Gigawatt-hour","677.058",""
"2017M02","Poland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M02","Portugal","Total","Gigawatt-hour","5 034.430",""
