"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2015M05","Croatia","Monthly rate of change","All-items HICP","0.6",""
"2015M05","Italy","Monthly rate of change","All-items HICP","0.2",""
"2015M05","Cyprus","Monthly rate of change","All-items HICP","1.1",""
"2015M05","Latvia","Monthly rate of change","All-items HICP","0.8",""
"2015M05","Lithuania","Monthly rate of change","All-items HICP","0.6",""
"2015M05","Luxembourg","Monthly rate of change","All-items HICP","0.5",""
"2015M05","Hungary","Monthly rate of change","All-items HICP","0.7",""
"2015M05","Malta","Monthly rate of change","All-items HICP","0.9",""
"2015M05","Netherlands","Monthly rate of change","All-items HICP","0.3",""
"2015M05","Austria","Monthly rate of change","All-items HICP","0.2",""
"2015M05","Poland","Monthly rate of change","All-items HICP","0.1",""
"2015M05","Portugal","Monthly rate of change","All-items HICP","0.5",""
"2015M05","Romania","Monthly rate of change","All-items HICP","0.7",""
"2015M05","Slovenia","Monthly rate of change","All-items HICP","0.7",""
"2015M05","Slovakia","Monthly rate of change","All-items HICP","0.3",""
"2015M05","Finland","Monthly rate of change","All-items HICP","-0.1",""
"2015M05","Sweden","Monthly rate of change","All-items HICP","0.4",""
"2015M06","European Union - 27 countries (from 2020)","Monthly rate of change","All-items HICP","0.0",""
"2015M06","Belgium","Monthly rate of change","All-items HICP","0.2",""
"2015M06","Bulgaria","Monthly rate of change","All-items HICP","-0.5",""
"2015M06","Czechia","Monthly rate of change","All-items HICP","0.2",""
"2015M06","Denmark","Monthly rate of change","All-items HICP","-0.1",""
"2015M06","Germany (until 1990 former territory of the FRG)","Monthly rate of change","All-items HICP","-0.1",""
"2015M06","Estonia","Monthly rate of change","All-items HICP","0.0",""
"2015M06","Ireland","Monthly rate of change","All-items HICP","0.4",""
"2015M06","Greece","Monthly rate of change","All-items HICP","0.9",""
"2015M06","Spain","Monthly rate of change","All-items HICP","0.2",""
"2015M06","France","Monthly rate of change","All-items HICP","-0.1",""
"2015M06","Croatia","Monthly rate of change","All-items HICP","0.3",""
"2015M06","Italy","Monthly rate of change","All-items HICP","0.1",""
"2015M06","Cyprus","Monthly rate of change","All-items HICP","0.3",""
"2015M06","Latvia","Monthly rate of change","All-items HICP","-0.1",""
"2015M06","Lithuania","Monthly rate of change","All-items HICP","-0.2",""
"2015M06","Luxembourg","Monthly rate of change","All-items HICP","0.2",""
"2015M06","Hungary","Monthly rate of change","All-items HICP","0.2",""
"2015M06","Malta","Monthly rate of change","All-items HICP","1.0",""
"2015M06","Netherlands","Monthly rate of change","All-items HICP","-0.6",""
"2015M06","Austria","Monthly rate of change","All-items HICP","0.0",""
"2015M06","Poland","Monthly rate of change","All-items HICP","0.1",""
"2015M06","Portugal","Monthly rate of change","All-items HICP","-0.1",""
"2015M06","Romania","Monthly rate of change","All-items HICP","-2.5",""
"2015M06","Slovenia","Monthly rate of change","All-items HICP","-0.1",""
"2015M06","Slovakia","Monthly rate of change","All-items HICP","0.1",""
"2015M06","Finland","Monthly rate of change","All-items HICP","0.0",""
"2015M06","Sweden","Monthly rate of change","All-items HICP","-0.3",""
