"TIME","GEO","INDIC_BT","NACE_R2","S_ADJ","UNIT","Value","Flag and Footnotes"
"2015M01","Lithuania","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.7",""
"2015M01","Luxembourg","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.0",""
"2015M01","Luxembourg","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.8",""
"2015M01","Luxembourg","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-1.8",""
"2015M01","Luxembourg","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-2.3",""
"2015M01","Luxembourg","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period",":","c"
"2015M01","Luxembourg","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","1.6",""
"2015M01","Hungary","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.4",""
"2015M01","Hungary","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.1",""
"2015M01","Hungary","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-3.9",""
"2015M01","Hungary","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.7",""
"2015M01","Hungary","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","2.9",""
"2015M01","Hungary","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.8",""
"2015M01","Malta","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-1.2",""
"2015M01","Malta","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-2.9",""
"2015M01","Malta","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.1",""
"2015M01","Malta","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","1.2",""
"2015M01","Malta","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.0",""
"2015M01","Malta","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.1",""
"2015M01","Netherlands","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-2.3",""
"2015M01","Netherlands","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-2.4",""
"2015M01","Netherlands","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-9.7",""
"2015M01","Netherlands","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.6",""
"2015M01","Netherlands","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.0",""
"2015M01","Netherlands","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.0",""
"2015M01","Austria","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.6",""
"2015M01","Austria","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.1",""
"2015M01","Austria","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-2.3",""
"2015M01","Austria","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.3",""
"2015M01","Austria","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.2",""
"2015M01","Austria","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.2",""
"2015M01","Poland","Total output price index - in national currency","Industry (except construction, sewerage, waste management and remediation activities)","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.1",""
"2015M01","Poland","Total output price index - in national currency","MIG - intermediate goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.2",""
"2015M01","Poland","Total output price index - in national currency","MIG - energy","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-2.0",""
"2015M01","Poland","Total output price index - in national currency","MIG - capital goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","1.1",""
"2015M01","Poland","Total output price index - in national currency","MIG - durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","1.1",""
"2015M01","Poland","Total output price index - in national currency","MIG - non-durable consumer goods","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.1",""
