"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2015M07","Finland","Index, 2015=100","All-items HICP","99.82",""
"2015M07","Sweden","Index, 2015=100","All-items HICP","100.13",""
"2015M08","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","100.08",""
"2015M08","Belgium","Index, 2015=100","All-items HICP","100.58",""
"2015M08","Bulgaria","Index, 2015=100","All-items HICP","100.41",""
"2015M08","Czechia","Index, 2015=100","All-items HICP","100.2",""
"2015M08","Denmark","Index, 2015=100","All-items HICP","99.9",""
"2015M08","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","100.8",""
"2015M08","Estonia","Index, 2015=100","All-items HICP","100.41",""
"2015M08","Ireland","Index, 2015=100","All-items HICP","100.8",""
"2015M08","Greece","Index, 2015=100","All-items HICP","99.75",""
"2015M08","Spain","Index, 2015=100","All-items HICP","99.50",""
"2015M08","France","Index, 2015=100","All-items HICP","100.36",""
"2015M08","Croatia","Index, 2015=100","All-items HICP","101.02",""
"2015M08","Italy","Index, 2015=100","All-items HICP","98.9",""
"2015M08","Cyprus","Index, 2015=100","All-items HICP","101.37",""
"2015M08","Latvia","Index, 2015=100","All-items HICP","99.84",""
"2015M08","Lithuania","Index, 2015=100","All-items HICP","99.40",""
"2015M08","Luxembourg","Index, 2015=100","All-items HICP","100.55",""
"2015M08","Hungary","Index, 2015=100","All-items HICP","100.35",""
"2015M08","Malta","Index, 2015=100","All-items HICP","102.68",""
"2015M08","Netherlands","Index, 2015=100","All-items HICP","100.58",""
"2015M08","Austria","Index, 2015=100","All-items HICP","99.73",""
"2015M08","Poland","Index, 2015=100","All-items HICP","100.1",""
"2015M08","Portugal","Index, 2015=100","All-items HICP","100.03",""
"2015M08","Romania","Index, 2015=100","All-items HICP","98.45",""
"2015M08","Slovenia","Index, 2015=100","All-items HICP","100.08",""
"2015M08","Slovakia","Index, 2015=100","All-items HICP","100.06",""
"2015M08","Finland","Index, 2015=100","All-items HICP","99.87",""
"2015M08","Sweden","Index, 2015=100","All-items HICP","99.96",""
"2015M09","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","100.24",""
"2015M09","Belgium","Index, 2015=100","All-items HICP","100.36",""
"2015M09","Bulgaria","Index, 2015=100","All-items HICP","99.62",""
"2015M09","Czechia","Index, 2015=100","All-items HICP","100.1",""
"2015M09","Denmark","Index, 2015=100","All-items HICP","100.2",""
"2015M09","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","100.5",""
"2015M09","Estonia","Index, 2015=100","All-items HICP","99.82",""
"2015M09","Ireland","Index, 2015=100","All-items HICP","100.3",""
"2015M09","Greece","Index, 2015=100","All-items HICP","100.94",""
"2015M09","Spain","Index, 2015=100","All-items HICP","99.90",""
"2015M09","France","Index, 2015=100","All-items HICP","99.99",""
"2015M09","Croatia","Index, 2015=100","All-items HICP","100.38",""
"2015M09","Italy","Index, 2015=100","All-items HICP","100.6",""
"2015M09","Cyprus","Index, 2015=100","All-items HICP","100.73",""
"2015M09","Latvia","Index, 2015=100","All-items HICP","99.62",""
"2015M09","Lithuania","Index, 2015=100","All-items HICP","100.01",""
"2015M09","Luxembourg","Index, 2015=100","All-items HICP","100.27",""
"2015M09","Hungary","Index, 2015=100","All-items HICP","99.76",""
"2015M09","Malta","Index, 2015=100","All-items HICP","101.85",""
"2015M09","Netherlands","Index, 2015=100","All-items HICP","100.40",""
"2015M09","Austria","Index, 2015=100","All-items HICP","100.25",""
"2015M09","Poland","Index, 2015=100","All-items HICP","99.8",""
"2015M09","Portugal","Index, 2015=100","All-items HICP","100.78",""
"2015M09","Romania","Index, 2015=100","All-items HICP","98.73",""
"2015M09","Slovenia","Index, 2015=100","All-items HICP","99.95",""
"2015M09","Slovakia","Index, 2015=100","All-items HICP","99.82",""
"2015M09","Finland","Index, 2015=100","All-items HICP","100.02",""
"2015M09","Sweden","Index, 2015=100","All-items HICP","100.45",""
"2015M10","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","100.35",""
"2015M10","Belgium","Index, 2015=100","All-items HICP","100.62",""
"2015M10","Bulgaria","Index, 2015=100","All-items HICP","99.46",""
"2015M10","Czechia","Index, 2015=100","All-items HICP","100.0",""
"2015M10","Denmark","Index, 2015=100","All-items HICP","100.1",""
"2015M10","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","100.5",""
"2015M10","Estonia","Index, 2015=100","All-items HICP","100.05",""
"2015M10","Ireland","Index, 2015=100","All-items HICP","100.0",""
"2015M10","Greece","Index, 2015=100","All-items HICP","100.75",""
"2015M10","Spain","Index, 2015=100","All-items HICP","100.21",""
"2015M10","France","Index, 2015=100","All-items HICP","100.07",""
"2015M10","Croatia","Index, 2015=100","All-items HICP","100.13",""
"2015M10","Italy","Index, 2015=100","All-items HICP","101.0",""
"2015M10","Cyprus","Index, 2015=100","All-items HICP","100.48",""
"2015M10","Latvia","Index, 2015=100","All-items HICP","99.64",""
"2015M10","Lithuania","Index, 2015=100","All-items HICP","100.50",""
"2015M10","Luxembourg","Index, 2015=100","All-items HICP","100.05",""
"2015M10","Hungary","Index, 2015=100","All-items HICP","100.02",""
"2015M10","Malta","Index, 2015=100","All-items HICP","101.23",""
"2015M10","Netherlands","Index, 2015=100","All-items HICP","100.40",""
"2015M10","Austria","Index, 2015=100","All-items HICP","100.35",""
"2015M10","Poland","Index, 2015=100","All-items HICP","99.9",""
"2015M10","Portugal","Index, 2015=100","All-items HICP","100.63",""
"2015M10","Romania","Index, 2015=100","All-items HICP","99.03",""
"2015M10","Slovenia","Index, 2015=100","All-items HICP","99.92",""
"2015M10","Slovakia","Index, 2015=100","All-items HICP","99.90",""
"2015M10","Finland","Index, 2015=100","All-items HICP","100.19",""
"2015M10","Sweden","Index, 2015=100","All-items HICP","100.55",""
"2015M11","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","99.97",""
"2015M11","Belgium","Index, 2015=100","All-items HICP","100.70",""
"2015M11","Bulgaria","Index, 2015=100","All-items HICP","99.19",""
"2015M11","Czechia","Index, 2015=100","All-items HICP","99.6",""
"2015M11","Denmark","Index, 2015=100","All-items HICP","99.9",""
"2015M11","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","99.5",""
"2015M11","Estonia","Index, 2015=100","All-items HICP","99.71",""
"2015M11","Ireland","Index, 2015=100","All-items HICP","99.7",""
"2015M11","Greece","Index, 2015=100","All-items HICP","100.01",""
"2015M11","Spain","Index, 2015=100","All-items HICP","100.47",""
"2015M11","France","Index, 2015=100","All-items HICP","99.86",""
"2015M11","Croatia","Index, 2015=100","All-items HICP","99.55",""
"2015M11","Italy","Index, 2015=100","All-items HICP","100.6",""
"2015M11","Cyprus","Index, 2015=100","All-items HICP","99.25",""
"2015M11","Latvia","Index, 2015=100","All-items HICP","99.57",""
"2015M11","Lithuania","Index, 2015=100","All-items HICP","100.35",""
"2015M11","Luxembourg","Index, 2015=100","All-items HICP","100.19",""
"2015M11","Hungary","Index, 2015=100","All-items HICP","100.00",""
"2015M11","Malta","Index, 2015=100","All-items HICP","98.74",""
"2015M11","Netherlands","Index, 2015=100","All-items HICP","99.64",""
"2015M11","Austria","Index, 2015=100","All-items HICP","100.32",""
"2015M11","Poland","Index, 2015=100","All-items HICP","99.8",""
"2015M11","Portugal","Index, 2015=100","All-items HICP","100.19",""
"2015M11","Romania","Index, 2015=100","All-items HICP","99.34",""
"2015M11","Slovenia","Index, 2015=100","All-items HICP","100.02",""
"2015M11","Slovakia","Index, 2015=100","All-items HICP","99.88",""
"2015M11","Finland","Index, 2015=100","All-items HICP","100.15",""
"2015M11","Sweden","Index, 2015=100","All-items HICP","100.38",""
"2015M12","European Union - 27 countries (from 2020)","Index, 2015=100","All-items HICP","99.97",""
"2015M12","Belgium","Index, 2015=100","All-items HICP","100.74",""
"2015M12","Bulgaria","Index, 2015=100","All-items HICP","99.60",""
"2015M12","Czechia","Index, 2015=100","All-items HICP","99.4",""
"2015M12","Denmark","Index, 2015=100","All-items HICP","99.8",""
"2015M12","Germany (until 1990 former territory of the FRG)","Index, 2015=100","All-items HICP","99.6",""
"2015M12","Estonia","Index, 2015=100","All-items HICP","99.01",""
"2015M12","Ireland","Index, 2015=100","All-items HICP","99.6",""
"2015M12","Greece","Index, 2015=100","All-items HICP","99.98",""
"2015M12","Spain","Index, 2015=100","All-items HICP","100.09",""
"2015M12","France","Index, 2015=100","All-items HICP","100.09",""
"2015M12","Croatia","Index, 2015=100","All-items HICP","98.99",""
"2015M12","Italy","Index, 2015=100","All-items HICP","100.6",""
"2015M12","Cyprus","Index, 2015=100","All-items HICP","98.67",""
"2015M12","Latvia","Index, 2015=100","All-items HICP","99.29",""
"2015M12","Lithuania","Index, 2015=100","All-items HICP","99.98",""
"2015M12","Luxembourg","Index, 2015=100","All-items HICP","99.66",""
"2015M12","Hungary","Index, 2015=100","All-items HICP","99.66",""
"2015M12","Malta","Index, 2015=100","All-items HICP","98.60",""
"2015M12","Netherlands","Index, 2015=100","All-items HICP","99.53",""
"2015M12","Austria","Index, 2015=100","All-items HICP","100.95",""
"2015M12","Poland","Index, 2015=100","All-items HICP","99.6",""
"2015M12","Portugal","Index, 2015=100","All-items HICP","99.86",""
"2015M12","Romania","Index, 2015=100","All-items HICP","99.50",""
