"TIME","GEO","PRODUCT","CONSOM","UNIT","TAX","CURRENCY","Value","Flag and Footnotes"
"2016S1","Malta","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1657",""
"2016S1","Netherlands","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1669",""
"2016S1","Austria","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1519",""
"2016S1","Poland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1313",""
"2016S1","Portugal","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1844",""
"2016S1","Romania","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1115",""
"2016S1","Slovenia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1277",""
"2016S1","Slovakia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1621",""
"2016S1","Finland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1027",""
"2016S1","Sweden","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.0894",""
"2016S2","European Union - 27 countries (from 2020)","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1687",""
"2016S2","Belgium","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1895",""
"2016S2","Bulgaria","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1136",""
"2016S2","Czechia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1410",""
"2016S2","Denmark","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.2728",""
"2016S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.2233",""
"2016S2","Estonia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1153",""
"2016S2","Ireland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1753",""
"2016S2","Greece","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1672",""
"2016S2","Spain","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1706",""
"2016S2","France","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1318",""
"2016S2","Croatia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1311",""
"2016S2","Italy","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.2167",""
"2016S2","Cyprus","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1740",""
"2016S2","Latvia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1645",""
"2016S2","Lithuania","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1205",""
"2016S2","Luxembourg","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1098",""
"2016S2","Hungary","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1174",""
"2016S2","Malta","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1634",""
"2016S2","Netherlands","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1236",""
"2016S2","Austria","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1490",""
"2016S2","Poland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1311",""
"2016S2","Portugal","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1843",""
"2016S2","Romania","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1091",""
"2016S2","Slovenia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1251",""
"2016S2","Slovakia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1613",""
"2016S2","Finland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1047",""
"2016S2","Sweden","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.0955",""
"2017S1","European Union - 27 countries (from 2020)","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1754",""
"2017S1","Belgium","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1939",""
"2017S1","Bulgaria","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1069",""
"2017S1","Czechia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1352",""
"2017S1","Denmark","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.2794",""
"2017S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.2305",""
"2017S1","Estonia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1124",""
"2017S1","Ireland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1692",""
"2017S1","Greece","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1627",""
"2017S1","Spain","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1658",""
"2017S1","France","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1466",""
"2017S1","Croatia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1173",""
"2017S1","Italy","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.2085",""
"2017S1","Cyprus","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1963",""
"2017S1","Latvia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1629",""
"2017S1","Lithuania","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1144",""
"2017S1","Luxembourg","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1094",""
"2017S1","Hungary","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1137","e"
"2017S1","Malta","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1597",""
"2017S1","Netherlands","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1653",""
"2017S1","Austria","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1430",""
"2017S1","Poland","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1402",""
"2017S1","Portugal","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1894",""
"2017S1","Romania","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1057",""
"2017S1","Slovenia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1207",""
"2017S1","Slovakia","Electrical energy","Band IB : 20 MWh < Consumption < 500 MWh","Kilowatt-hour","All taxes and levies included","Euro","0.1596",""
