time,country,type,value,date
2021M03,Ireland,Natural gas,1237.609,2021-03-01
2021M03,Ireland,Nuclear,0.0,2021-03-01
2021M03,Greece,Total,3998.58,2021-03-01
2021M03,Greece,Combustible fuels,0.1,2021-03-01
2021M03,Greece,Coal,644.07,2021-03-01
2021M03,Greece,Natural gas,1410.449,2021-03-01
2021M03,Greece,Nuclear,0.0,2021-03-01
2021M03,Spain,Total,22092.639,2021-03-01
2021M03,Spain,Combustible fuels,184.342,2021-03-01
2021M03,Spain,Coal,242.255,2021-03-01
2021M03,Spain,Natural gas,3894.281,2021-03-01
2021M03,Spain,Nuclear,4833.136,2021-03-01
2021M03,France,Total,48425.693,2021-03-01
2021M03,France,Combustible fuels,0.0,2021-03-01
2021M03,France,Coal,573.678,2021-03-01
2021M03,France,Natural gas,4438.706,2021-03-01
2021M03,France,Nuclear,31695.35,2021-03-01
2021M03,Croatia,Total,1401.027,2021-03-01
2021M03,Croatia,Combustible fuels,0.0,2021-03-01
2021M03,Croatia,Coal,136.189,2021-03-01
2021M03,Croatia,Natural gas,265.781,2021-03-01
2021M03,Croatia,Nuclear,0.0,2021-03-01
2021M03,Italy,Total,22395.0,2021-03-01
2021M03,Italy,Combustible fuels,0.0,2021-03-01
2021M03,Italy,Coal,0.0,2021-03-01
2021M03,Italy,Natural gas,0.0,2021-03-01
2021M03,Italy,Nuclear,0.0,2021-03-01
2021M03,Cyprus,Total,347.749,2021-03-01
2021M03,Cyprus,Combustible fuels,0.0,2021-03-01
2021M03,Cyprus,Coal,0.0,2021-03-01
2021M03,Cyprus,Natural gas,0.0,2021-03-01
2021M03,Cyprus,Nuclear,0.0,2021-03-01
2021M03,Latvia,Total,704.0,2021-03-01
2021M03,Latvia,Combustible fuels,0.0,2021-03-01
2021M03,Latvia,Coal,0.0,2021-03-01
2021M03,Latvia,Natural gas,218.0,2021-03-01
2021M03,Latvia,Nuclear,0.0,2021-03-01
2021M03,Lithuania,Total,400.147,2021-03-01
2021M03,Lithuania,Combustible fuels,6.029,2021-03-01
2021M03,Lithuania,Coal,0.0,2021-03-01
2021M03,Lithuania,Natural gas,94.992,2021-03-01
2021M03,Lithuania,Nuclear,0.0,2021-03-01
2021M03,Luxembourg,Total,204.986,2021-03-01
2021M03,Luxembourg,Combustible fuels,4.273,2021-03-01
2021M03,Luxembourg,Coal,0.0,2021-03-01
2021M03,Luxembourg,Natural gas,19.304,2021-03-01
2021M03,Luxembourg,Nuclear,0.0,2021-03-01
2021M03,Hungary,Total,2978.566,2021-03-01
2021M03,Hungary,Combustible fuels,28.932,2021-03-01
2021M03,Hungary,Coal,206.631,2021-03-01
2021M03,Hungary,Natural gas,745.602,2021-03-01
2021M03,Hungary,Nuclear,1415.245,2021-03-01
2021M03,Malta,Total,154.475,2021-03-01
2021M03,Malta,Combustible fuels,0.0,2021-03-01
2021M03,Malta,Coal,0.0,2021-03-01
2021M03,Malta,Natural gas,130.865,2021-03-01
2021M03,Malta,Nuclear,0.0,2021-03-01
2021M03,Netherlands,Total,11279.301,2021-03-01
2021M03,Netherlands,Combustible fuels,132.047,2021-03-01
2021M03,Netherlands,Coal,1210.889,2021-03-01
2021M03,Netherlands,Natural gas,6070.745,2021-03-01
2021M03,Netherlands,Nuclear,359.731,2021-03-01
2021M03,Austria,Total,5126.138,2021-03-01
2021M03,Austria,Combustible fuels,40.699,2021-03-01
2021M03,Austria,Coal,182.632,2021-03-01
2021M03,Austria,Natural gas,1115.075,2021-03-01
2021M03,Austria,Nuclear,0.0,2021-03-01
2021M03,Poland,Total,13279.768,2021-03-01
2021M03,Poland,Combustible fuels,100.772,2021-03-01
2021M03,Poland,Coal,9461.279,2021-03-01
2021M03,Poland,Natural gas,1176.306,2021-03-01
2021M03,Poland,Nuclear,0.0,2021-03-01
2021M03,Portugal,Total,4494.866,2021-03-01
2021M03,Portugal,Combustible fuels,25.659,2021-03-01
2021M03,Portugal,Coal,28.322,2021-03-01
2021M03,Portugal,Natural gas,841.346,2021-03-01
2021M03,Portugal,Nuclear,0.0,2021-03-01
2021M03,Romania,Total,4953.0,2021-03-01
2021M03,Romania,Combustible fuels,0.0,2021-03-01
2021M03,Romania,Coal,743.0,2021-03-01
2021M03,Romania,Natural gas,857.0,2021-03-01
2021M03,Romania,Nuclear,953.0,2021-03-01
2021M03,Slovenia,Total,1332.432,2021-03-01
2021M03,Slovenia,Combustible fuels,0.818,2021-03-01
2021M03,Slovenia,Coal,369.927,2021-03-01
2021M03,Slovenia,Natural gas,46.928,2021-03-01
2021M03,Slovenia,Nuclear,514.646,2021-03-01
2021M03,Slovakia,Total,2458.0,2021-03-01
2021M03,Slovakia,Combustible fuels,128.0,2021-03-01
2021M03,Slovakia,Coal,109.0,2021-03-01
2021M03,Slovakia,Natural gas,481.0,2021-03-01
2021M03,Slovakia,Nuclear,1181.0,2021-03-01
2021M03,Finland,Total,6754.774,2021-03-01
2021M03,Finland,Combustible fuels,73.0,2021-03-01
2021M03,Finland,Coal,628.0,2021-03-01
2021M03,Finland,Natural gas,559.0,2021-03-01
2021M03,Finland,Nuclear,2081.614,2021-03-01
2021M03,Sweden,Total,15836.605,2021-03-01
2021M03,Sweden,Combustible fuels,173.68,2021-03-01
2021M03,Sweden,Coal,0.19,2021-03-01
2021M03,Sweden,Natural gas,11.98,2021-03-01
2021M03,Sweden,Nuclear,5026.56,2021-03-01
2021M04,EU,Total,216634.43,2021-04-01
2021M04,EU,Combustible fuels,2669.264,2021-04-01
2021M04,EU,Coal,27718.702,2021-04-01
