time,country,crude_oil_100,natural_gas_100,coal_100,elec_100,steel_100,copper_100,aluminum_100
2015M06,Bulgaria,112.15,91.91,97.35,98.12,85.79,97.25,86.13
2015M06,Czechia,112.15,91.91,97.35,97.71,85.79,97.25,86.13
2015M06,Denmark,112.15,91.91,97.35,100.0,85.79,97.25,86.13
2015M06,Germany,112.15,91.91,97.35,100.48,85.79,97.25,86.13
2015M06,Estonia,112.15,91.91,97.35,100.95,85.79,97.25,86.13
2015M06,Ireland,112.15,91.91,97.35,101.42,85.79,97.25,86.13
2015M06,Greece,112.15,91.91,97.35,101.98,85.79,97.25,86.13
2015M06,Spain,112.15,91.91,97.35,102.46,85.79,97.25,86.13
2015M06,France,112.15,91.91,97.35,100.0,85.79,97.25,86.13
2015M06,Croatia,112.15,91.91,97.35,100.0,85.79,97.25,86.13
2015M06,Italy,112.15,91.91,97.35,100.06,85.79,97.25,86.13
2015M06,Cyprus,112.15,91.91,97.35,100.06,85.79,97.25,86.13
2015M06,Latvia,112.15,91.91,97.35,100.06,85.79,97.25,86.13
2015M06,Lithuania,112.15,91.91,97.35,100.12,85.79,97.25,86.13
2015M06,Luxembourg,112.15,91.91,97.35,100.0,85.79,97.25,86.13
2015M06,Hungary,112.15,91.91,97.35,99.9,85.79,97.25,86.13
2015M06,Malta,112.15,91.91,97.35,99.8,85.79,97.25,86.13
2015M06,Netherlands,112.15,91.91,97.35,99.7,85.79,97.25,86.13
2015M06,Austria,112.15,91.91,97.35,99.51,85.79,97.25,86.13
2015M06,Poland,112.15,91.91,97.35,99.41,85.79,97.25,86.13
2015M06,Portugal,112.15,91.91,97.35,100.0,85.79,97.25,86.13
2015M06,Romania,112.15,91.91,97.35,99.56,85.79,97.25,86.13
2015M06,Slovenia,112.15,91.91,97.35,99.0,85.79,97.25,86.13
2015M06,Slovakia,112.15,91.91,97.35,98.55,85.79,97.25,86.13
2015M06,Finland,112.15,91.91,97.35,98.11,85.79,97.25,86.13
2015M06,Sweden,112.15,91.91,97.35,97.56,85.79,97.25,86.13
2015M07,EU,109.72,98.98,96.55,97.2,93.37,92.29,84.67
2015M07,Belgium,109.72,98.98,96.55,97.03,93.37,92.29,84.67
2015M07,Bulgaria,109.72,98.98,96.55,96.91,93.37,92.29,84.67
2015M07,Czechia,109.72,98.98,96.55,96.75,93.37,92.29,84.67
2015M07,Denmark,109.72,98.98,96.55,96.59,93.37,92.29,84.67
2015M07,Germany,109.72,98.98,96.55,96.47,93.37,92.29,84.67
2015M07,Estonia,109.72,98.98,96.55,103.11,93.37,92.29,84.67
2015M07,Ireland,109.72,98.98,96.55,103.52,93.37,92.29,84.67
2015M07,Greece,109.72,98.98,96.55,103.99,93.37,92.29,84.67
2015M07,Spain,109.72,98.98,96.55,104.4,93.37,92.29,84.67
2015M07,France,109.72,98.98,96.55,104.81,93.37,92.29,84.67
2015M07,Croatia,109.72,98.98,96.55,105.28,93.37,92.29,84.67
2015M07,Italy,109.72,98.98,96.55,115.26,93.37,92.29,84.67
