time,country,value,value_var,value_100,date
2015M02,France,0.1468,-0.61,99.39,2015-02-01
2015M03,France,0.146,-0.54,98.85,2015-03-01
2015M04,France,0.1452,-0.55,98.31,2015-04-01
2015M05,France,0.1443,-0.62,97.7,2015-05-01
2015M06,France,0.1434,-0.62,97.09,2015-06-01
2015M01,Croatia,0.1346,0.0,100.0,2015-01-01
2015M02,Croatia,0.1346,0.0,100.0,2015-02-01
2015M03,Croatia,0.1347,0.07,100.07,2015-03-01
2015M04,Croatia,0.1347,0.0,100.07,2015-04-01
2015M05,Croatia,0.1348,0.07,100.14,2015-05-01
2015M06,Croatia,0.1348,0.0,100.14,2015-06-01
2015M01,Italy,0.2263,0.0,100.0,2015-01-01
2015M02,Italy,0.2258,-0.22,99.78,2015-02-01
2015M03,Italy,0.2252,-0.27,99.51,2015-03-01
2015M04,Italy,0.2247,-0.22,99.29,2015-04-01
2015M05,Italy,0.2242,-0.22,99.07,2015-05-01
2015M06,Italy,0.2236,-0.27,98.8,2015-06-01
2015M01,Cyprus,0.1975,0.0,100.0,2015-01-01
2015M02,Cyprus,0.1963,-0.61,99.39,2015-02-01
2015M03,Cyprus,0.1951,-0.61,98.78,2015-03-01
2015M04,Cyprus,0.1939,-0.62,98.17,2015-04-01
2015M05,Cyprus,0.1927,-0.62,97.56,2015-05-01
2015M06,Cyprus,0.1915,-0.62,96.96,2015-06-01
2015M01,Latvia,0.1595,0.0,100.0,2015-01-01
2015M02,Latvia,0.1593,-0.13,99.87,2015-02-01
2015M03,Latvia,0.1591,-0.13,99.74,2015-03-01
2015M04,Latvia,0.159,-0.06,99.68,2015-04-01
2015M05,Latvia,0.1588,-0.13,99.55,2015-05-01
2015M06,Latvia,0.1586,-0.13,99.42,2015-06-01
2015M01,Lithuania,0.1324,0.0,100.0,2015-01-01
2015M02,Lithuania,0.1325,0.08,100.08,2015-02-01
2015M03,Lithuania,0.1325,0.0,100.08,2015-03-01
2015M04,Lithuania,0.1326,0.08,100.16,2015-04-01
2015M05,Lithuania,0.1327,0.08,100.24,2015-05-01
2015M06,Lithuania,0.1327,0.0,100.24,2015-06-01
2015M01,Luxembourg,0.111,0.0,100.0,2015-01-01
2015M02,Luxembourg,0.111,0.0,100.0,2015-02-01
2015M03,Luxembourg,0.1111,0.09,100.09,2015-03-01
2015M04,Luxembourg,0.1111,0.0,100.09,2015-04-01
2015M05,Luxembourg,0.1111,0.0,100.09,2015-05-01
2015M06,Luxembourg,0.1112,0.09,100.18,2015-06-01
2015M01,Hungary,0.1213,0.0,100.0,2015-01-01
2015M02,Hungary,0.1212,-0.08,99.92,2015-02-01
2015M03,Hungary,0.121,-0.17,99.75,2015-03-01
2015M04,Hungary,0.1209,-0.08,99.67,2015-04-01
2015M05,Hungary,0.1208,-0.08,99.59,2015-05-01
2015M06,Hungary,0.1206,-0.17,99.42,2015-06-01
2015M01,Malta,0.1873,0.0,100.0,2015-01-01
2015M02,Malta,0.1833,-2.14,97.86,2015-02-01
2015M03,Malta,0.1793,-2.18,95.73,2015-03-01
2015M04,Malta,0.1753,-2.23,93.6,2015-04-01
2015M05,Malta,0.1713,-2.28,91.47,2015-05-01
2015M06,Malta,0.1673,-2.34,89.33,2015-06-01
2015M01,Netherlands,0.173,0.0,100.0,2015-01-01
2015M02,Netherlands,0.1654,-4.39,95.61,2015-02-01
2015M03,Netherlands,0.1579,-4.53,91.28,2015-03-01
2015M04,Netherlands,0.1503,-4.81,86.89,2015-04-01
2015M05,Netherlands,0.1427,-5.06,82.49,2015-05-01
2015M06,Netherlands,0.1352,-5.26,78.15,2015-06-01
2015M01,Austria,0.1495,0.0,100.0,2015-01-01
2015M02,Austria,0.1498,0.2,100.2,2015-02-01
2015M03,Austria,0.15,0.13,100.33,2015-03-01
